iter	Passed	Remaining
0	225	225183
1	271	135405
2	318	105780
3	361	90073
4	403	80277
5	445	73863
6	485	68906
7	525	65110
8	567	62445
9	603	59784
10	642	57745
11	684	56317
12	724	55003
13	763	53795
14	803	52750
15	850	52275
16	875	50641
17	892	48673
18	907	46868
19	922	45226
20	939	43785
21	954	42438
22	973	41344
23	991	40311
24	1008	39345
25	1026	38446
26	1042	37567
27	1058	36734
28	1074	35993
29	1090	35260
30	1105	34562
31	1120	33894
32	1136	33310
33	1151	32712
34	1166	32163
35	1181	31633
36	1197	31155
37	1212	30689
38	1228	30271
39	1243	29841
40	1258	29427
41	1273	29049
42	1291	28738
43	1306	28389
44	1322	28058
45	1337	27744
46	1353	27447
47	1370	27178
48	1387	26922
49	1403	26675
50	1418	26397
51	1433	26138
52	1454	25994
53	1471	25772
54	1486	25544
55	1504	25363
56	1519	25140
57	1535	24933
58	1550	24730
59	1565	24529
60	1580	24324
61	1595	24140
62	1610	23950
63	1626	23786
64	1641	23610
65	1657	23449
66	1672	23291
67	1687	23132
68	1702	22976
69	1718	22832
70	1734	22694
71	1749	22549
72	1766	22426
73	1781	22296
74	1797	22171
75	1813	22051
76	1829	21924
77	1844	21798
78	1859	21676
79	1876	21575
80	1895	21500
81	1908	21368
82	1924	21263
83	1938	21141
84	1955	21050
85	1970	20938
86	1986	20850
87	2002	20751
88	2017	20652
89	2033	20556
90	2049	20469
91	2065	20385
92	2080	20292
93	2095	20200
94	2111	20115
95	2127	20035
96	2141	19938
97	2156	19848
98	2172	19772
99	2188	19694
100	2203	19613
101	2218	19535
102	2234	19458
103	2249	19382
104	2264	19304
105	2280	19229
106	2296	19164
107	2311	19087
108	2327	19022
109	2342	18953
110	2358	18886
111	2373	18818
112	2388	18751
113	2407	18714
114	2427	18680
115	2444	18631
116	2463	18590
117	2480	18543
118	2499	18502
119	2516	18454
120	2533	18406
121	2549	18348
122	2564	18285
123	2578	18217
124	2594	18163
125	2610	18105
126	2627	18059
127	2643	18005
128	2659	17953
129	2675	17906
130	2691	17856
131	2708	17808
132	2724	17757
133	2738	17697
134	2754	17647
135	2768	17589
136	2783	17536
137	2799	17486
138	2816	17443
139	2831	17394
140	2847	17345
141	2862	17292
142	2876	17238
143	2892	17192
144	2907	17142
145	2924	17105
146	2942	17074
147	2957	17028
148	2973	16983
149	2990	16943
150	3006	16902
151	3022	16861
152	3037	16814
153	3053	16774
154	3068	16727
155	3084	16688
156	3099	16641
157	3114	16595
158	3129	16554
159	3146	16517
160	3161	16476
161	3177	16438
162	3193	16397
163	3209	16360
164	3224	16318
165	3239	16277
166	3254	16234
167	3269	16193
168	3285	16156
169	3301	16117
170	3317	16082
171	3332	16044
172	3349	16014
173	3365	15974
174	3382	15944
175	3396	15902
176	3413	15872
177	3427	15829
178	3443	15791
179	3460	15763
180	3479	15746
181	3495	15709
182	3510	15672
183	3525	15634
184	3540	15598
185	3556	15564
186	3572	15531
187	3587	15494
188	3602	15457
189	3618	15424
190	3632	15387
191	3648	15354
192	3662	15316
193	3678	15282
194	3692	15243
195	3707	15208
196	3723	15176
197	3739	15145
198	3754	15111
199	3770	15080
200	3786	15052
201	3802	15019
202	3817	14988
203	3833	14956
204	3848	14925
205	3864	14894
206	3880	14864
207	3895	14833
208	3911	14803
209	3926	14771
210	3941	14739
211	3958	14714
212	3978	14698
213	3993	14668
214	4009	14638
215	4024	14609
216	4040	14578
217	4056	14550
218	4072	14523
219	4087	14492
220	4103	14464
221	4118	14432
222	4134	14406
223	4149	14376
224	4165	14346
225	4180	14315
226	4195	14287
227	4211	14259
228	4228	14236
229	4243	14207
230	4259	14180
231	4274	14151
232	4290	14123
233	4304	14092
234	4320	14063
235	4335	14033
236	4350	14006
237	4367	13984
238	4384	13960
239	4400	13936
240	4416	13909
241	4433	13885
242	4449	13862
243	4465	13836
244	4481	13809
245	4499	13790
246	4514	13763
247	4533	13746
248	4548	13719
249	4564	13694
250	4580	13667
251	4595	13641
252	4610	13613
253	4625	13586
254	4640	13557
255	4656	13533
256	4671	13505
257	4686	13479
258	4729	13530
259	4768	13572
260	4808	13616
261	4846	13651
262	4881	13680
263	4917	13708
264	4954	13740
265	4989	13767
266	5028	13804
267	5065	13836
268	5100	13860
269	5134	13881
270	5169	13905
271	5203	13928
272	5241	13958
273	5278	13986
274	5317	14017
275	5354	14046
276	5390	14068
277	5427	14096
278	5466	14125
279	5504	14154
280	5539	14174
281	5573	14189
282	5594	14174
283	5609	14142
284	5625	14113
285	5642	14085
286	5657	14056
287	5674	14028
288	5689	13997
289	5705	13968
290	5721	13940
291	5737	13911
292	5753	13882
293	5768	13853
294	5785	13826
295	5801	13798
296	5817	13770
297	5832	13738
298	5848	13710
299	5864	13683
300	5880	13656
